iter	Passed	Remaining
0	0	94
1	1	89
2	2	96
3	3	85
4	4	80
5	5	78
6	5	77
7	6	76
8	7	76
9	8	75
10	9	74
11	9	73
12	10	71
13	11	69
14	12	68
15	12	66
16	13	65
17	14	64
18	14	63
19	15	61
20	16	60
21	17	60
22	17	59
23	18	58
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	25	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	31	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	29
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
